Clase Original;Clase Predicha
1;[[0.48095188]]
0;[[0.48094705]]
0;[[0.48094794]]
0;[[0.48094666]]
0;[[0.48094657]]
0;[[0.48094702]]
1;[[0.4809513]]
0;[[0.48096204]]
0;[[0.48094675]]
1;[[0.48094723]]
1;[[0.48094648]]
0;[[0.48094702]]
1;[[0.4809536]]
0;[[0.48094702]]
0;[[0.48094943]]
1;[[0.48094684]]
1;[[0.48094705]]
1;[[0.48094612]]
0;[[0.48094654]]
1;[[0.48094672]]
1;[[0.48094967]]
1;[[0.4809468]]
0;[[0.48094743]]
1;[[0.4809459]]
1;[[0.48094648]]
0;[[0.480949]]
1;[[0.48094645]]
1;[[0.48094946]]
0;[[0.48094702]]
0;[[0.48095188]]
0;[[0.48095578]]
1;[[0.4809468]]
1;[[0.48094648]]
1;[[0.480952]]
1;[[0.48094806]]
1;[[0.48094672]]
0;[[0.48094672]]
1;[[0.48094946]]
0;[[0.48094678]]
0;[[0.48094702]]
1;[[0.48094672]]
0;[[0.48094723]]
0;[[0.4809468]]
1;[[0.4809486]]
1;[[0.48094648]]
0;[[0.4809467]]
0;[[0.48094678]]
1;[[0.48095426]]
0;[[0.48094702]]
0;[[0.4809474]]
1;[[0.4809468]]
0;[[0.48094955]]
0;[[0.4809478]]
1;[[0.48094645]]
0;[[0.48094934]]
0;[[0.48094702]]
0;[[0.4809466]]
1;[[0.48094806]]
1;[[0.4809465]]
0;[[0.48094723]]
0;[[0.48094672]]
1;[[0.4809487]]
0;[[0.4809467]]
1;[[0.48094675]]
1;[[0.48094675]]
0;[[0.48094603]]
1;[[0.48094684]]
1;[[0.48094654]]
0;[[0.48094645]]
1;[[0.48094758]]
0;[[0.48094866]]
1;[[0.48095492]]
0;[[0.48094705]]
1;[[0.48095214]]
1;[[0.48097363]]
1;[[0.48094955]]
1;[[0.48094702]]
0;[[0.4809546]]
1;[[0.48095575]]
0;[[0.48095617]]
0;[[0.48095456]]
1;[[0.48094645]]
0;[[0.48094702]]
0;[[0.48095977]]
0;[[0.480948]]
0;[[0.48094645]]
0;[[0.48097277]]
0;[[0.48094702]]
1;[[0.4809576]]
0;[[0.4809465]]
1;[[0.48094672]]
0;[[0.48094887]]
0;[[0.48094723]]
1;[[0.48094755]]
0;[[0.48094872]]
1;[[0.48094806]]
1;[[0.4809471]]
0;[[0.4809467]]
0;[[0.4809467]]
0;[[0.4809479]]
0;[[0.4809523]]
0;[[0.48094967]]
0;[[0.48094702]]
0;[[0.48094696]]
1;[[0.4809468]]
1;[[0.48094666]]
1;[[0.48094723]]
0;[[0.48094648]]
1;[[0.48097274]]
1;[[0.4809467]]
1;[[0.48094606]]
1;[[0.48094723]]
1;[[0.48094964]]
1;[[0.48094687]]
0;[[0.48094645]]
1;[[0.48094672]]
0;[[0.48097646]]
1;[[0.48094645]]
1;[[0.48094645]]
1;[[0.48095316]]
1;[[0.48097375]]
0;[[0.48094654]]
1;[[0.48094955]]
1;[[0.48095652]]
1;[[0.48094645]]
0;[[0.48094675]]
0;[[0.48094687]]
1;[[0.48094672]]
0;[[0.48094645]]
0;[[0.4809468]]
1;[[0.48095152]]
0;[[0.48094675]]
1;[[0.48094645]]
0;[[0.48094702]]
1;[[0.48095894]]
1;[[0.4809473]]
1;[[0.48094657]]
0;[[0.4809467]]
1;[[0.48094702]]
1;[[0.4809496]]
1;[[0.4809466]]
0;[[0.480946]]
0;[[0.48095202]]
0;[[0.48094746]]
1;[[0.48094672]]
1;[[0.48094678]]
0;[[0.48094702]]
0;[[0.4809479]]
0;[[0.48094645]]
1;[[0.48094702]]
0;[[0.48095456]]
1;[[0.48094672]]
0;[[0.48095065]]
0;[[0.4809515]]
1;[[0.48095143]]
1;[[0.48094654]]
0;[[0.48094612]]
0;[[0.48094672]]
1;[[0.4809465]]
0;[[0.4809729]]
0;[[0.4809465]]
1;[[0.4809568]]
0;[[0.48094702]]
1;[[0.48095414]]
1;[[0.48094723]]
0;[[0.48094714]]
0;[[0.4809546]]
1;[[0.48094708]]
0;[[0.48094645]]
0;[[0.4809467]]
1;[[0.48094654]]
1;[[0.4809479]]
1;[[0.48094645]]
1;[[0.48094675]]
0;[[0.48094702]]
0;[[0.48094663]]
1;[[0.48094758]]
1;[[0.48094705]]
1;[[0.48096064]]
1;[[0.48094657]]
0;[[0.48094645]]
0;[[0.4809571]]
0;[[0.48094672]]
0;[[0.4809474]]
0;[[0.48094657]]
0;[[0.48094648]]
1;[[0.48094645]]
0;[[0.48094648]]
0;[[0.4809468]]
0;[[0.48094654]]
0;[[0.4809707]]
1;[[0.48094645]]
0;[[0.48094675]]
0;[[0.48094645]]
1;[[0.48094764]]
1;[[0.48094735]]
0;[[0.48094702]]
0;[[0.48094705]]
1;[[0.48094654]]
1;[[0.48094675]]
0;[[0.48094645]]
1;[[0.48094806]]
1;[[0.48094672]]
1;[[0.48094732]]
1;[[0.48094672]]
0;[[0.48094648]]
0;[[0.48094702]]
1;[[0.48094645]]
0;[[0.48094672]]
1;[[0.4809468]]
0;[[0.48094645]]
0;[[0.4809465]]
1;[[0.48094687]]
0;[[0.48094645]]
0;[[0.48094645]]
0;[[0.48094946]]
0;[[0.48094654]]
0;[[0.4809515]]
1;[[0.48095664]]
0;[[0.48094657]]
1;[[0.48095322]]
1;[[0.48094648]]
0;[[0.48094648]]
1;[[0.48094672]]
1;[[0.48094675]]
1;[[0.48094723]]
1;[[0.48094645]]
0;[[0.48094723]]
0;[[0.48094767]]
0;[[0.48094836]]
1;[[0.4809465]]
1;[[0.48094735]]
0;[[0.48094806]]
0;[[0.48094702]]
1;[[0.48094648]]
1;[[0.48094743]]
1;[[0.48094967]]
0;[[0.48094672]]
1;[[0.4809468]]
0;[[0.480946]]
1;[[0.48094723]]
0;[[0.48094702]]
1;[[0.48094702]]
1;[[0.48094672]]
0;[[0.48097268]]
1;[[0.48094806]]
0;[[0.48094702]]
0;[[0.48094645]]
0;[[0.4809468]]
0;[[0.48094675]]
1;[[0.48094723]]
0;[[0.48094648]]
0;[[0.48094907]]
1;[[0.48094723]]
1;[[0.48094657]]
0;[[0.48095423]]
1;[[0.48094672]]
0;[[0.48094916]]
0;[[0.48095107]]
0;[[0.48094645]]
1;[[0.48094672]]
1;[[0.48094696]]
1;[[0.48095578]]
1;[[0.48094743]]
1;[[0.48094705]]
0;[[0.48094648]]
0;[[0.48097557]]
0;[[0.4809468]]
0;[[0.48101074]]
1;[[0.48094955]]
1;[[0.48095438]]
0;[[0.48094657]]
1;[[0.480954]]
0;[[0.48094714]]
0;[[0.48094794]]
0;[[0.48094645]]
0;[[0.48094648]]
0;[[0.48094967]]
0;[[0.48094735]]
1;[[0.48094782]]
1;[[0.48094702]]
1;[[0.48094705]]
1;[[0.48094678]]
0;[[0.48094702]]
1;[[0.48094955]]
0;[[0.48094708]]
1;[[0.4809491]]
1;[[0.48094663]]
1;[[0.4809467]]
0;[[0.48094678]]
1;[[0.48094723]]
0;[[0.48094645]]
0;[[0.48094723]]
0;[[0.48094702]]
0;[[0.480947]]
0;[[0.48094854]]
0;[[0.48094645]]
1;[[0.48094672]]
0;[[0.48094726]]
0;[[0.4809468]]
1;[[0.48094654]]
0;[[0.48094794]]
1;[[0.4809495]]
0;[[0.48094678]]
1;[[0.48094723]]
1;[[0.4809466]]
1;[[0.4809473]]
1;[[0.48094893]]
1;[[0.48096266]]
1;[[0.48094657]]
1;[[0.48096448]]
1;[[0.4809467]]
1;[[0.48094672]]
1;[[0.4809468]]
1;[[0.480947]]
0;[[0.48095134]]
1;[[0.48094943]]
0;[[0.48094678]]
0;[[0.48094696]]
0;[[0.48095155]]
0;[[0.4809546]]
1;[[0.48094663]]
1;[[0.48094597]]
0;[[0.48094672]]
0;[[0.4809515]]
0;[[0.48094702]]
1;[[0.48094723]]
1;[[0.4809465]]
0;[[0.48094672]]
1;[[0.48094887]]
0;[[0.48094702]]
0;[[0.48094678]]
0;[[0.48094842]]
0;[[0.48095137]]
0;[[0.48094672]]
0;[[0.48094657]]
0;[[0.48094946]]
1;[[0.48094648]]
1;[[0.48097262]]
1;[[0.4810203]]
0;[[0.48094648]]
0;[[0.48094723]]
1;[[0.4809486]]
1;[[0.48094654]]
1;[[0.48094848]]
1;[[0.4809512]]
0;[[0.48097143]]
1;[[0.4809468]]
1;[[0.48094687]]
0;[[0.48094726]]
0;[[0.4809497]]
0;[[0.48094705]]
0;[[0.48094702]]
0;[[0.48094702]]
1;[[0.4809469]]
1;[[0.4809551]]
1;[[0.48094743]]
0;[[0.48094702]]
0;[[0.48094648]]
0;[[0.4809544]]
1;[[0.48094645]]
0;[[0.48094672]]
1;[[0.48094654]]
1;[[0.48094606]]
1;[[0.48095632]]
1;[[0.4809473]]
1;[[0.4809465]]
0;[[0.48094657]]
1;[[0.48095453]]
0;[[0.4809588]]
0;[[0.4809468]]
0;[[0.48094657]]
1;[[0.48095483]]
0;[[0.48094654]]
0;[[0.48094672]]
1;[[0.48094654]]
0;[[0.48094848]]
1;[[0.48094696]]
1;[[0.48094705]]
1;[[0.48094723]]
1;[[0.48094952]]
1;[[0.48094705]]
0;[[0.48094645]]
0;[[0.4809513]]
1;[[0.4809513]]
1;[[0.48094955]]
1;[[0.48094618]]
1;[[0.4809481]]
1;[[0.48094663]]
1;[[0.48094696]]
1;[[0.48097977]]
1;[[0.48094672]]
0;[[0.4809468]]
0;[[0.48094645]]
1;[[0.4809468]]
0;[[0.48094672]]
0;[[0.48094702]]
0;[[0.48094654]]
1;[[0.48094645]]
