appid;release_date;english;developer;publisher;required_age;categories;genres;steamspy_tags;achievements;gusta o no gusta;median_playtime;owners;price
667410;2017-09-16;0.13150664608837087;Three Percent Games;Three Percent Games;-0.13094760419024004;Single-player;"Violent;Gore;Adventure;Indie";"Adventure;Indie;Gore";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.4592187
420110;2016-02-19;0.13150664608837087;NEKO WORKs;Sekai Project;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Sexual Content;Nudity;Casual;Indie";"Anime;Sexual Content;Cute";-0.06920836956178313;1;1.392307621728752;3.1677578912411746;0.10949847
377250;2018-05-09;0.13150664608837087;Studios iLLOGIKA;Studios iLLOGIKA;-0.13094760419024004;"Single-player;Steam Achievements;Full controller support;Steam Cloud";"Action;Adventure;Indie";"Action;Adventure;Indie";-0.027813899614546837;1;-0.22595143720744532;-0.5285757041394258;0.4507288
517130;2016-09-29;0.13150664608837087;Maxint LLC;Maxint LLC;-0.13094760419024004;Single-player;Indie;"Indie;VR;Rhythm";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;0.7237131
252890;2013-10-29;0.13150664608837087;Waterlily Games;Frogwares;-0.13094760419024004;"Single-player;Steam Achievements";"Adventure;Casual";"Casual;Adventure;Hidden Object";-0.027813899614546837;1;-0.22595143720744532;0.21069101493669423;0.10949847
1011960;2019-02-15;0.13150664608837087;Royal Donut;Royal Donut;-0.13094760419024004;"Co-op;Shared/Split Screen;Captions available;Partial Controller Support";"Casual;Indie;Strategy";"Casual;Strategy;Indie";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.68556815
468080;2016-07-18;0.13150664608837087;Brandon Brizzi;Brandon Brizzi;-0.13094760419024004;"Single-player;Steam Achievements;Full controller support";"Adventure;Indie";"Adventure;Indie";-0.09468188952931314;0;-0.22595143720744532;-0.5285757041394258;-0.23173183
740470;2017-12-04;0.13150664608837087;Team DOTS;Team DOTS;-0.13094760419024004;"Single-player;Partial Controller Support";"Action;Adventure;Free to Play;Indie";"Free to Play;Adventure;Action";-0.13289216948060817;1;-0.22595143720744532;0.9499577340128144;-0.68556815
785950;2018-02-01;0.13150664608837087;XMINutesGames;XMINutesGames;-0.13094760419024004;Single-player;"Action;Adventure";"Action;Adventure";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.49334174
647930;2017-07-10;0.13150664608837087;Eipix Entertainment;Big Fish Games;-0.13094760419024004;Single-player;"Adventure;Casual";"Adventure;Casual;Hidden Object";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;0.1322472
